transaction_id,transaction_date,transaction_time,transaction_qty,store_id,product_id,unit_price,CategoryId,Product_TypeId
1,1/1/2023,7:06:11 AM,2,5,32,3,1,1
2,1/1/2023,7:08:56 AM,2,5,57,3,2,2
3,1/1/2023,7:14:04 AM,2,5,59,5,3,3
4,1/1/2023,7:20:24 AM,1,5,22,2,1,4
5,1/1/2023,7:22:41 AM,2,5,57,3,2,2
6,1/1/2023,7:22:41 AM,1,5,77,3,4,5
7,1/1/2023,7:25:49 AM,1,5,22,2,1,4
8,1/1/2023,7:33:34 AM,2,5,28,2,1,1
9,1/1/2023,7:39:13 AM,1,5,39,4,1,6
10,1/1/2023,7:39:34 AM,2,5,58,4,3,3
11,1/1/2023,7:43:05 AM,1,5,56,3,2,2
12,1/1/2023,7:44:35 AM,2,5,33,4,1,1
13,1/1/2023,7:45:51 AM,1,5,51,3,2,7
14,1/1/2023,7:48:19 AM,1,5,57,3,2,2
15,1/1/2023,7:52:36 AM,2,5,87,3,1,6
16,1/1/2023,7:59:58 AM,2,5,47,3,2,8
17,1/1/2023,7:59:58 AM,1,5,79,4,4,5
18,1/1/2023,8:00:18 AM,1,8,42,3,2,9
19,1/1/2023,8:00:39 AM,2,8,59,5,3,3
20,1/1/2023,8:11:45 AM,1,8,61,5,3,
21,1/1/2023,8:17:27 AM,2,8,33,4,1,
22,1/1/2023,8:24:26 AM,2,5,56,3,2,
23,1/1/2023,8:24:26 AM,1,5,69,3,4,10
24,1/1/2023,8:29:38 AM,1,8,56,3,2,2
25,1/1/2023,8:31:23 AM,1,8,40,4,1,6
26,1/1/2023,8:33:08 AM,1,5,43,3,2,9
27,1/1/2023,8:33:08 AM,1,5,76,4,4,10
28,1/1/2023,8:35:03 AM,2,5,45,3,2,9
29,1/1/2023,8:35:03 AM,1,5,71,4,4,11
30,1/1/2023,8:41:57 AM,2,8,40,4,1,6
31,1/1/2023,8:52:03 AM,1,8,38,4,1,6
32,1/1/2023,8:52:32 AM,1,5,26,3,1,12
33,1/1/2023,8:54:33 AM,2,5,27,4,1,12
34,1/1/2023,8:56:27 AM,2,5,29,3,1,1
35,1/1/2023,8:57:46 AM,1,8,54,3,2,2
36,1/1/2023,8:58:55 AM,1,5,26,3,1,12
37,1/1/2023,9:00:12 AM,1,5,55,4,2,2
38,1/1/2023,9:00:24 AM,2,8,40,4,1,6
39,1/1/2023,9:07:13 AM,1,8,45,3,2,9
40,1/1/2023,9:08:09 AM,2,8,45,3,2,9
41,1/1/2023,9:08:13 AM,1,8,24,3,1,4
42,1/1/2023,9:10:30 AM,2,5,60,4,3,
43,1/1/2023,9:10:30 AM,1,5,78,5,4,
44,1/1/2023,9:11:06 AM,1,5,56,3,2,
45,1/1/2023,9:11:06 AM,1,5,77,3,4,5
46,1/1/2023,9:13:01 AM,1,5,44,3,2,9
47,1/1/2023,9:13:15 AM,2,5,56,3,2,2
48,1/1/2023,9:14:16 AM,1,5,48,3,2,7
49,1/1/2023,9:14:17 AM,1,8,23,3,1,4
50,1/1/2023,9:14:25 AM,1,8,46,3,2,8
